M/Z,INTENSITY
59.8201,1.10E+01
59.8235,7.00E+00
59.8269,0.00E+00
59.8708,0.00E+00
59.8742,4.00E+00
59.8776,9.00E+00
59.881,0.00E+00
60.0568,0.00E+00
60.0602,4.40E+01
60.0636,3.00E+00
60.067,0.00E+00
60.5282,0.00E+00
60.5316,1.40E+01
60.535,0.00E+00
60.9128,0.00E+00
60.9162,7.00E+00
60.9196,7.00E+00
60.923,0.00E+00
61.0014,0.00E+00
61.0049,3.00E+00
61.0083,3.00E+01
61.0117,5.70E+01
61.0151,7.10E+01
61.0185,8.00E+00
61.0219,0.00E+00
61.0253,0.00E+00
61.0287,4.00E+01
61.0322,6.00E+01
61.0356,1.40E+01
61.039,0.00E+00
61.2063,0.00E+00
61.2097,6.00E+00
61.2131,1.40E+01
61.2165,0.00E+00
61.2541,0.00E+00
61.2576,2.60E+01
61.261,4.00E+00
61.2644,0.00E+00
61.3054,0.00E+00
61.3088,4.70E+01
61.3123,6.00E+00
61.3157,0.00E+00
61.3636,0.00E+00
61.367,1.10E+01
61.3704,7.00E+00
61.3738,0.00E+00
62.0084,0.00E+00
62.0119,1.30E+01
62.0153,8.00E+01
62.0188,1.42E+02
62.0222,2.70E+01
62.0257,0.00E+00
62.0291,0.00E+00
62.0325,4.00E+00
62.036,1.10E+01
62.0394,0.00E+00
62.5496,0.00E+00
62.553,3.00E+00
62.5565,2.50E+01
62.5599,0.00E+00
62.7916,0.00E+00
62.7951,7.00E+00
62.7985,2.60E+01
62.802,0.00E+00
62.8851,0.00E+00
62.8885,4.00E+00
62.892,1.60E+01
62.8955,0.00E+00
63.0133,0.00E+00
63.0168,6.80E+01
63.0202,2.82E+02
63.0237,6.00E+02
63.0272,5.89E+02
63.0306,6.10E+01
63.0341,0.00E+00
63.2875,0.00E+00
63.291,1.60E+01
63.2944,0.00E+00
63.5901,0.00E+00
63.5936,1.30E+01
63.5971,2.00E+01
63.6006,0.00E+00
63.6284,0.00E+00
63.6319,9.00E+00
63.6354,4.00E+00
63.6389,0.00E+00
63.6493,0.00E+00
63.6528,5.00E+00
63.6563,1.90E+01
63.6598,0.00E+00
63.8167,0.00E+00
63.8202,1.60E+01
63.8237,4.90E+01
63.8272,0.00E+00
63.9529,0.00E+00
63.9563,1.40E+01
63.9598,1.20E+01
63.9633,0.00E+00
63.9703,0.00E+00
63.9738,3.40E+01
63.9773,0.00E+00
64.0157,0.00E+00
64.0192,4.00E+00
64.0227,1.50E+01
64.0262,9.00E+01
64.0297,2.15E+02
64.0332,2.60E+02
64.0367,1.05E+02
64.0402,1.50E+01
64.0437,0.00E+00
64.1311,0.00E+00
64.1346,9.00E+00
64.1381,1.50E+01
64.1416,0.00E+00
64.4708,0.00E+00
64.4743,5.00E+00
64.4778,1.10E+01
64.4813,0.00E+00
64.6568,0.00E+00
64.6603,2.00E+01
64.6638,1.20E+01
64.6673,5.50E+01
64.6709,0.00E+00
64.7446,0.00E+00
64.7482,1.30E+01
64.7517,3.00E+00
64.7552,0.00E+00
65.005,0.00E+00
65.0085,1.00E+01
65.012,7.00E+00
65.0155,0.00E+00
65.019,0.00E+00
65.0226,4.00E+00
65.0261,2.50E+01
65.0296,4.20E+01
65.0331,3.55E+02
65.0367,2.50E+03
65.0402,5.49E+03
65.0437,3.48E+03
65.0472,7.27E+02
65.0507,4.20E+01
65.0543,1.40E+01
65.0578,6.00E+00
65.0613,0.00E+00
65.0824,0.00E+00
65.086,1.10E+01
65.0895,8.00E+00
65.093,0.00E+00
65.2094,0.00E+00
65.2129,6.00E+00
65.2164,9.00E+00
65.2199,0.00E+00
65.2446,0.00E+00
65.2482,8.00E+00
65.2517,3.60E+01
65.2552,0.00E+00
65.5802,0.00E+00
65.5837,4.00E+00
65.5873,1.10E+01
65.5908,0.00E+00
65.6085,0.00E+00
65.612,8.00E+00
65.6156,2.00E+01
65.6191,0.00E+00
65.651,0.00E+00
65.6545,2.70E+01
65.658,4.00E+00
65.6616,0.00E+00
65.7572,0.00E+00
65.7607,4.00E+00
65.7642,9.00E+00
65.7678,0.00E+00
65.7784,0.00E+00
65.782,9.00E+00
65.7855,4.00E+00
65.789,0.00E+00
65.8528,0.00E+00
65.8564,1.50E+01
65.8599,6.00E+00
65.8634,0.00E+00
65.9592,0.00E+00
65.9627,7.00E+00
65.9663,1.00E+01
65.9698,0.00E+00
66.0053,0.00E+00
66.0089,3.30E+01
66.0124,6.10E+01
66.016,0.00E+00
66.0337,0.00E+00
66.0372,1.40E+01
66.0408,2.52E+02
66.0443,6.84E+02
66.0479,8.92E+02
66.0514,5.03E+02
66.055,9.00E+01
66.0585,4.00E+00
66.0621,0.00E+00
66.1722,0.00E+00
66.1757,8.00E+00
66.1793,1.10E+01
66.1828,0.00E+00
66.7668,0.00E+00
66.7704,9.00E+00
66.774,9.00E+00
66.7775,0.00E+00
66.9454,0.00E+00
66.949,4.00E+00
66.9525,9.00E+00
66.9561,0.00E+00
67.0026,0.00E+00
67.0061,1.50E+01
67.0097,6.80E+01
67.0133,2.12E+02
67.0169,1.82E+03
67.0204,3.00E+03
67.024,1.01E+03
67.0276,1.75E+02
67.0312,9.80E+01
67.0348,0.00E+00
67.0383,1.60E+01
67.0419,7.00E+00
67.0455,0.00E+00
67.0491,2.50E+02
67.0526,1.38E+03
67.0562,2.77E+03
67.0598,1.40E+03
67.0634,3.30E+02
67.0669,3.60E+01
67.0705,1.20E+01
67.0741,0.00E+00
67.3498,0.00E+00
67.3534,4.30E+01
67.357,2.90E+01
67.3605,0.00E+00
67.3892,0.00E+00
67.3928,7.00E+00
67.3964,1.60E+01
67.4,0.00E+00
67.7267,0.00E+00
67.7303,1.00E+01
67.7339,1.00E+01
67.7374,0.00E+00
67.7698,0.00E+00
67.7734,5.00E+00
67.777,2.60E+01
67.7806,0.00E+00
68.0001,0.00E+00
68.0037,9.00E+00
68.0073,6.00E+00
68.0109,0.00E+00
68.0145,0.00E+00
68.0181,2.70E+01
68.0217,6.10E+02
68.0253,2.23E+03
68.0289,2.74E+03
68.0325,8.08E+02
68.0361,1.20E+02
68.0397,0.00E+00
68.0469,0.00E+00
68.0505,1.40E+01
68.0541,2.60E+01
68.0577,1.86E+02
68.0613,2.48E+02
68.0649,1.44E+02
68.0686,5.10E+01
68.0722,0.00E+00
68.101,0.00E+00
68.1046,2.00E+00
68.1082,2.50E+01
68.1118,0.00E+00
68.1262,0.00E+00
68.1298,9.00E+00
68.1334,9.00E+00
68.137,0.00E+00
68.3752,0.00E+00
68.3788,1.60E+01
68.3824,4.00E+00
68.386,0.00E+00
68.9869,0.00E+00
68.9905,2.60E+01
68.9941,6.56E+02
68.9978,2.36E+03
69.0014,1.60E+03
69.005,3.59E+02
69.0086,3.70E+01
69.0123,0.00E+00
69.0195,0.00E+00
69.0232,1.30E+01
69.0268,2.30E+01
69.0304,8.24E+02
69.034,3.30E+03
69.0377,2.75E+03
69.0413,6.68E+02
69.0449,1.11E+02
69.0486,1.50E+01
69.0522,0.00E+00
69.0631,0.00E+00
69.0667,4.00E+01
69.0703,1.22E+02
69.074,7.90E+01
69.0776,5.00E+00
69.0812,0.00E+00
69.1974,0.00E+00
69.2011,1.60E+01
69.2047,3.40E+01
69.2083,0.00E+00
69.4229,0.00E+00
69.4265,1.60E+01
69.4302,0.00E+00
69.5284,0.00E+00
69.5321,2.40E+01
69.5357,3.10E+01
69.5394,0.00E+00
69.6377,0.00E+00
69.6414,2.90E+01
69.645,0.00E+00
69.6924,0.00E+00
69.6961,8.00E+00
69.6997,2.30E+01
69.7034,0.00E+00
69.7362,0.00E+00
69.7398,1.00E+01
69.7435,7.00E+00
69.7471,0.00E+00
69.8347,0.00E+00
69.8383,6.00E+00
69.842,2.40E+01
69.8456,0.00E+00
69.8748,0.00E+00
69.8785,9.00E+00
69.8821,6.00E+00
69.8858,0.00E+00
69.9369,0.00E+00
69.9406,7.00E+00
69.9442,7.00E+00
69.9479,0.00E+00
69.9917,0.00E+00
69.9954,1.30E+01
69.999,8.00E+01
70.0027,9.90E+01
70.0063,1.20E+02
70.01,1.40E+01
70.0136,0.00E+00
70.0246,0.00E+00
70.0283,4.00E+00
70.0319,2.10E+01
70.0356,1.49E+02
70.0392,2.29E+02
70.0429,1.25E+02
70.0465,8.00E+00
70.0502,0.00E+00
70.0685,0.00E+00
70.0721,1.90E+01
70.0758,2.10E+01
70.0794,0.00E+00
70.4712,0.00E+00
70.4749,5.00E+00
70.4785,1.90E+01
70.4822,0.00E+00
70.4859,0.00E+00
70.4895,2.20E+01
70.4932,2.00E+00
70.4969,0.00E+00
70.5262,0.00E+00
70.5299,4.00E+00
70.5335,9.00E+00
70.5372,0.00E+00
70.6656,0.00E+00
70.6693,2.20E+01
70.673,3.00E+01
70.6767,0.00E+00
70.8273,0.00E+00
70.831,1.40E+01
70.8346,6.00E+00
70.8383,0.00E+00
70.9928,0.00E+00
70.9965,3.00E+00
71.0001,2.40E+01
71.0038,1.30E+01
71.0075,4.70E+01
71.0112,2.39E+02
71.0149,4.17E+02
71.0185,3.03E+02
71.0222,7.70E+01
71.0259,2.20E+01
71.0296,0.00E+00
71.0406,0.00E+00
71.0443,6.30E+01
71.048,3.55E+02
71.0517,5.53E+02
71.0554,1.80E+02
71.059,1.70E+01
71.0627,0.00E+00
71.1364,0.00E+00
71.1401,9.00E+00
71.1437,6.00E+00
71.1474,0.00E+00
71.2985,0.00E+00
71.3022,1.50E+01
71.3059,1.50E+01
71.3096,0.00E+00
71.5163,0.00E+00
71.52,1.00E+01
71.5237,1.00E+01
71.5274,0.00E+00
71.5569,0.00E+00
71.5606,1.10E+01
71.5643,5.00E+00
71.568,0.00E+00
71.764,0.00E+00
71.7677,2.20E+01
71.7714,5.00E+00
71.7751,0.00E+00
71.7788,0.00E+00
71.7825,3.20E+01
71.7862,5.00E+00
71.7899,0.00E+00
72.0084,0.00E+00
72.0121,9.00E+00
72.0158,9.00E+00
72.0195,0.00E+00
72.0454,0.00E+00
72.0491,2.20E+01
72.0528,5.70E+01
72.0566,6.10E+01
72.0603,0.00E+00
72.0751,0.00E+00
72.0788,2.20E+01
72.0825,3.00E+00
72.0862,0.00E+00
72.294,0.00E+00
72.2977,2.30E+01
72.3015,0.00E+00
72.4687,0.00E+00
72.4724,1.90E+01
72.4761,0.00E+00
73.0013,0.00E+00
73.005,1.80E+01
73.0088,5.30E+01
73.0125,2.00E+01
73.0162,0.00E+00
73.0274,0.00E+00
73.0312,1.00E+00
73.0349,4.40E+01
73.0386,0.00E+00
73.0573,0.00E+00
73.061,1.49E+02
73.0648,4.60E+01
73.0685,4.40E+01
73.0722,0.00E+00
73.4236,0.00E+00
73.4273,1.00E+01
73.4311,7.00E+00
73.4348,0.00E+00
73.5696,0.00E+00
73.5734,9.00E+00
73.5771,4.00E+00
73.5809,0.00E+00
73.6596,0.00E+00
73.6633,1.10E+01
73.667,4.00E+00
73.6708,0.00E+00
73.7383,0.00E+00
73.742,1.10E+01
73.7458,8.00E+00
73.7495,0.00E+00
73.787,0.00E+00
73.7908,1.10E+01
73.7946,8.00E+00
73.7983,0.00E+00
73.9184,0.00E+00
73.9222,2.00E+00
73.9259,3.10E+01
73.9297,0.00E+00
73.9334,0.00E+00
73.9372,2.10E+01
73.9409,3.20E+01
73.9447,0.00E+00
73.9597,0.00E+00
73.9635,8.00E+00
73.9672,1.10E+01
73.971,0.00E+00
73.9785,0.00E+00
73.9823,1.60E+01
73.986,4.10E+01
73.9898,1.10E+01
73.9935,0.00E+00
74.0048,0.00E+00
74.0086,1.50E+01
74.0123,2.89E+02
74.0161,7.56E+02
74.0198,4.74E+02
74.0236,1.11E+02
74.0274,9.00E+00
74.0311,0.00E+00
74.1025,0.00E+00
74.1063,9.00E+00
74.11,6.00E+00
74.1138,0.00E+00
74.4978,0.00E+00
74.5016,1.00E+01
74.5054,1.50E+01
74.5091,0.00E+00
75.0114,0.00E+00
75.0152,2.50E+01
75.0189,1.58E+02
75.0227,5.24E+02
