M/Z,INTENSITY
50.0104,0.00E+00
50.0134,4.00E+00
50.0165,1.60E+01
50.0196,6.10E+01
50.0227,2.00E+00
50.0258,0.00E+00
50.0536,0.00E+00
50.0567,1.90E+01
50.0598,2.00E+00
50.0629,0.00E+00
50.2639,0.00E+00
50.267,1.10E+01
50.2701,3.20E+01
50.2732,0.00E+00
50.5244,0.00E+00
50.5275,4.00E+00
50.5306,9.00E+00
50.5337,0.00E+00
50.6082,0.00E+00
50.6113,6.00E+00
50.6144,1.50E+01
50.6176,0.00E+00
50.9662,0.00E+00
50.9693,4.00E+00
50.9724,9.00E+00
50.9755,0.00E+00
51.0129,0.00E+00
51.0161,1.50E+01
51.0192,4.50E+01
51.0223,8.40E+01
51.0254,7.70E+01
51.0285,2.30E+01
51.0317,0.00E+00
51.0348,2.00E+01
51.0379,0.00E+00
51.5854,0.00E+00
51.5885,1.20E+01
51.5917,3.00E+00
51.5948,0.00E+00
51.6325,0.00E+00
51.6356,7.00E+00
51.6387,1.50E+01
51.6419,0.00E+00
51.6984,0.00E+00
51.7015,7.00E+00
51.7047,7.00E+00
51.7078,0.00E+00
51.8209,0.00E+00
51.8241,4.00E+00
51.8272,9.00E+00
51.8304,0.00E+00
52.0255,0.00E+00
52.0286,8.00E+00
52.0318,2.30E+01
52.0349,3.00E+00
52.0381,1.70E+01
52.0412,1.70E+01
52.0444,0.00E+00
52.3157,0.00E+00
52.3189,9.00E+00
52.322,4.00E+00
52.3252,0.00E+00
52.5782,0.00E+00
52.5814,4.00E+00
52.5846,9.00E+00
52.5877,0.00E+00
52.7018,0.00E+00
52.705,9.00E+00
52.7082,9.00E+00
52.7113,0.00E+00
52.8954,0.00E+00
52.8986,6.80E+01
52.9018,1.00E+01
52.9049,0.00E+00
52.9304,0.00E+00
52.9335,5.00E+00
52.9367,8.30E+01
52.9399,0.00E+00
52.9971,0.00E+00
53.0003,7.00E+00
53.0035,7.70E+01
53.0066,1.40E+02
53.0098,6.10E+01
53.013,0.00E+00
53.0321,0.00E+00
53.0353,5.70E+01
53.0384,3.33E+02
53.0416,6.92E+02
53.0448,1.61E+02
53.048,0.00E+00
53.0893,0.00E+00
53.0925,7.00E+00
53.0957,1.00E+01
53.0989,0.00E+00
53.2103,0.00E+00
53.2135,1.30E+01
53.2167,1.90E+01
53.2199,0.00E+00
53.5454,0.00E+00
53.5486,7.00E+00
53.5518,2.00E+01
53.555,0.00E+00
53.5773,0.00E+00
53.5805,1.50E+01
53.5837,0.00E+00
53.5869,1.30E+01
53.5901,0.00E+00
53.7853,0.00E+00
53.7886,3.00E+01
53.7918,2.20E+01
53.795,0.00E+00
53.9007,0.00E+00
53.9039,9.00E+00
53.9071,6.00E+00
53.9103,0.00E+00
54.0098,0.00E+00
54.013,3.40E+01
54.0162,0.00E+00
54.0387,0.00E+00
54.0419,1.40E+01
54.0451,4.90E+01
54.0483,8.90E+01
54.0515,2.00E+01
54.0547,0.00E+00
54.2476,0.00E+00
54.2508,9.00E+00
54.254,4.00E+00
54.2572,0.00E+00
54.2733,0.00E+00
54.2765,7.00E+00
54.2797,7.00E+00
54.283,0.00E+00
54.4311,0.00E+00
54.4343,1.90E+01
54.4375,3.70E+01
54.4408,0.00E+00
54.9835,0.00E+00
54.9867,1.60E+01
54.99,4.00E+00
54.9932,0.00E+00
54.9964,1.60E+01
54.9997,1.10E+01
55.0029,0.00E+00
55.0062,1.05E+02
55.0094,4.80E+01
55.0126,2.32E+02
55.0159,2.62E+03
55.0191,6.94E+03
55.0224,5.40E+03
55.0256,1.07E+03
55.0288,2.00E+01
55.0321,0.00E+00
