M/Z,INTENSITY
50.3135,0.00E+00
50.3166,2.60E+01
50.3197,4.20E+01
50.3228,0.00E+00
50.3352,0.00E+00
50.3383,3.20E+01
50.3414,1.10E+01
50.3445,0.00E+00
50.3631,0.00E+00
50.3662,1.20E+01
50.3693,3.00E+00
50.3724,0.00E+00
50.4282,0.00E+00
50.4313,3.10E+01
50.4344,1.00E+00
50.4375,0.00E+00
50.8135,0.00E+00
50.8166,1.10E+01
50.8197,1.60E+01
50.8228,0.00E+00
50.8882,0.00E+00
50.8914,1.60E+01
50.8945,1.20E+01
50.8976,1.00E+01
50.9007,0.00E+00
50.9786,0.00E+00
50.9818,1.20E+01
50.9849,8.00E+00
50.988,0.00E+00
51.0129,0.00E+00
51.0161,2.70E+01
51.0192,1.80E+01
51.0223,0.00E+00
51.3129,0.00E+00
51.316,1.80E+01
51.3191,2.00E+01
51.3222,0.00E+00
51.6733,0.00E+00
51.6764,1.40E+01
51.6795,5.00E+00
51.6827,0.00E+00
51.7235,0.00E+00
51.7267,3.00E+00
51.7298,2.30E+01
51.7329,0.00E+00
51.7361,0.00E+00
51.7392,4.00E+00
51.7424,1.10E+01
51.7455,0.00E+00
51.7706,0.00E+00
51.7738,2.70E+01
51.7769,2.00E+00
51.7801,0.00E+00
51.9688,0.00E+00
51.972,2.40E+01
51.9751,1.20E+01
51.9783,0.00E+00
52.0223,0.00E+00
52.0255,7.00E+00
52.0286,2.00E+01
52.0318,0.00E+00
52.1863,0.00E+00
52.1894,3.00E+00
52.1926,3.20E+01
52.1957,0.00E+00
52.1989,1.30E+01
52.2021,0.00E+00
52.3568,0.00E+00
52.3599,1.00E+01
52.3631,1.10E+01
52.3663,0.00E+00
52.4137,0.00E+00
52.4169,4.00E+00
52.42,3.00E+01
52.4232,0.00E+00
52.4928,0.00E+00
52.4959,1.30E+01
52.4991,0.00E+00
52.5276,0.00E+00
52.5307,2.60E+01
52.5339,2.50E+01
52.5371,0.00E+00
52.8256,0.00E+00
52.8287,3.00E+01
52.8319,1.00E+00
52.8351,0.00E+00
52.8636,0.00E+00
52.8668,1.30E+01
52.87,2.20E+01
52.8732,0.00E+00
53.0321,0.00E+00
53.0353,6.80E+01
53.0384,8.60E+01
53.0416,8.10E+01
53.0448,3.00E+00
53.048,1.50E+01
53.0512,1.70E+01
53.0544,0.00E+00
53.0703,0.00E+00
53.0734,1.30E+01
53.0766,0.00E+00
53.083,0.00E+00
53.0862,9.00E+00
53.0893,4.00E+00
53.0925,0.00E+00
53.1116,0.00E+00
53.1148,7.00E+00
53.118,7.00E+00
53.1212,0.00E+00
53.1817,0.00E+00
53.1849,1.20E+01
53.188,1.00E+01
53.1912,0.00E+00
53.4304,0.00E+00
53.4336,1.60E+01
53.4368,2.00E+00
53.44,0.00E+00
53.6605,0.00E+00
53.6637,2.00E+00
53.6669,2.20E+01
53.6701,0.00E+00
53.7277,0.00E+00
53.7309,2.00E+00
53.7341,1.60E+01
53.7373,0.00E+00
53.8687,0.00E+00
53.8719,1.10E+01
53.8751,5.00E+00
53.8783,0.00E+00
53.9232,0.00E+00
53.9264,1.00E+00
53.9296,4.30E+01
53.9328,0.00E+00
54.0387,0.00E+00
54.0419,1.90E+01
54.0451,1.90E+01
54.0483,0.00E+00
54.2958,0.00E+00
54.2991,5.00E+00
54.3023,1.10E+01
54.3055,0.00E+00
54.4633,0.00E+00
54.4665,2.00E+00
54.4698,2.00E+01
54.473,0.00E+00
54.4988,0.00E+00
54.502,5.00E+00
54.5052,1.20E+01
54.5084,2.00E+00
54.5117,2.50E+01
54.5149,0.00E+00
54.602,0.00E+00
54.6052,6.00E+00
54.6085,9.00E+00
54.6117,0.00E+00
54.644,0.00E+00
54.6472,2.60E+01
54.6504,6.00E+00
54.6536,0.00E+00
54.6698,0.00E+00
54.673,1.10E+01
54.6763,1.60E+01
54.6795,0.00E+00
54.7085,0.00E+00
54.7118,1.00E+01
54.715,1.00E+01
54.7182,0.00E+00
54.7473,0.00E+00
54.7506,2.60E+01
54.7538,0.00E+00
55.0029,0.00E+00
55.0062,1.00E+01
55.0094,4.30E+01
55.0126,1.87E+02
55.0159,1.28E+03
55.0191,3.51E+03
55.0224,2.54E+03
55.0256,5.08E+02
55.0288,1.10E+01
55.0321,0.00E+00
55.0483,0.00E+00
55.0515,3.90E+01
55.0548,4.09E+02
55.058,4.12E+02
55.0612,1.37E+02
55.0645,0.00E+00
55.0807,0.00E+00
55.0839,1.00E+01
55.0872,1.00E+01
55.0904,0.00E+00
55.1163,0.00E+00
55.1196,1.50E+01
55.1228,2.00E+00
55.1261,0.00E+00
55.1942,0.00E+00
55.1974,9.00E+00
55.2007,9.00E+00
55.2039,0.00E+00
55.2072,3.00E+00
55.2104,3.30E+01
55.2137,1.00E+01
55.2169,0.00E+00
55.2201,3.00E+00
55.2234,1.20E+01
55.2266,0.00E+00
55.2948,0.00E+00
55.2981,1.80E+01
55.3013,1.00E+01
55.3046,0.00E+00
55.4541,0.00E+00
55.4573,9.00E+00
55.4606,6.00E+00
55.4638,0.00E+00
55.5745,0.00E+00
55.5777,8.00E+00
55.581,1.80E+01
55.5842,0.00E+00
55.7341,0.00E+00
55.7374,1.60E+01
55.7406,7.00E+00
55.7439,0.00E+00
55.7733,0.00E+00
55.7765,1.90E+01
55.7798,2.00E+00
55.783,0.00E+00
55.9463,0.00E+00
55.9495,1.10E+01
55.9528,4.00E+00
55.9561,0.00E+00
56.0149,0.00E+00
56.0182,2.10E+01
56.0214,1.12E+02
56.0247,1.65E+02
56.028,8.90E+01
