M/Z,INTENSITY
57.5551,0.00E+00
57.6579,0.00E+00
57.6612,6.00E+00
57.6645,9.00E+00
57.6678,0.00E+00
57.7342,0.00E+00
57.7375,4.00E+00
57.7408,1.60E+01
57.7441,0.00E+00
57.7806,0.00E+00
57.784,4.00E+00
57.7873,2.00E+01
57.7906,0.00E+00
57.8703,0.00E+00
57.8736,1.10E+01
57.877,8.00E+00
57.8803,0.00E+00
57.97,0.00E+00
57.9734,1.30E+01
57.9767,1.30E+01
57.98,0.00E+00
58.0299,0.00E+00
58.0332,1.20E+01
58.0366,3.80E+01
58.0399,0.00E+00
58.0765,0.00E+00
58.0798,1.10E+01
58.0831,4.00E+00
58.0865,0.00E+00
58.1331,0.00E+00
58.1364,9.00E+00
58.1398,9.00E+00
58.1431,0.00E+00
58.3397,0.00E+00
58.3431,1.30E+01
58.3464,0.00E+00
58.4031,0.00E+00
58.4065,5.00E+00
58.4098,1.10E+01
58.4131,0.00E+00
58.4198,0.00E+00
58.4232,1.00E+01
58.4265,1.00E+01
58.4298,0.00E+00
58.5033,0.00E+00
58.5066,1.10E+01
58.51,7.00E+00
58.5133,0.00E+00
58.5233,0.00E+00
58.5267,7.00E+00
58.53,1.00E+01
58.5334,0.00E+00
58.5735,0.00E+00
58.5768,7.00E+00
58.5802,3.80E+01
58.5835,0.00E+00
58.6203,0.00E+00
58.6236,9.00E+00
58.627,4.00E+00
58.6303,0.00E+00
58.6872,0.00E+00
58.6905,3.00E+00
58.6939,2.70E+01
58.6972,0.00E+00
59.0055,0.00E+00
59.0088,4.00E+00
59.0122,3.30E+01
59.0155,0.00E+00
59.0323,0.00E+00
59.0357,2.50E+01
59.039,7.00E+00
59.0424,0.00E+00
59.0457,0.00E+00
59.0491,4.40E+01
59.0524,8.80E+01
59.0558,5.80E+01
59.0592,0.00E+00
59.2137,0.00E+00
59.217,1.20E+01
59.2204,1.00E+01
59.2237,0.00E+00
59.3112,0.00E+00
59.3145,3.30E+01
59.3179,9.00E+00
59.3212,0.00E+00
59.3381,0.00E+00
59.3414,5.00E+00
59.3448,1.90E+01
59.3482,0.00E+00
59.3885,0.00E+00
59.3919,7.00E+00
59.3953,1.80E+01
59.3986,4.00E+00
59.402,0.00E+00
59.4289,0.00E+00
59.4323,7.00E+00
59.4357,3.80E+01
59.439,0.00E+00
59.7796,0.00E+00
59.783,4.10E+01
59.7864,3.10E+01
59.7897,0.00E+00
59.8033,0.00E+00
59.8066,3.20E+01
59.81,7.00E+00
59.8134,0.00E+00
59.9215,0.00E+00
59.9249,1.10E+01
59.9283,5.00E+00
59.9317,0.00E+00
60.0771,0.00E+00
60.0805,6.00E+00
60.0839,9.00E+00
60.0873,0.00E+00
60.1076,0.00E+00
60.111,1.20E+01
60.1144,1.20E+01
60.1178,0.00E+00
60.1212,0.00E+00
60.1245,4.00E+00
60.1279,9.00E+00
60.1313,0.00E+00
60.1584,0.00E+00
60.1618,9.00E+00
60.1652,4.00E+00
60.1686,0.00E+00
60.2296,0.00E+00
60.233,1.00E+01
60.2364,7.00E+00
60.2397,0.00E+00
60.2906,0.00E+00
60.294,9.00E+00
60.2974,2.30E+01
60.3008,0.00E+00
60.5384,0.00E+00
60.5418,9.00E+00
60.5452,4.00E+00
60.5486,0.00E+00
60.705,0.00E+00
60.7084,3.00E+00
60.7118,3.90E+01
60.7153,0.00E+00
60.7527,0.00E+00
60.7561,4.00E+00
60.7595,3.70E+01
60.7629,0.00E+00
61.0219,0.00E+00
61.0253,1.60E+01
61.0287,8.00E+00
61.0322,0.00E+00
61.1107,0.00E+00
61.1141,4.00E+00
61.1175,1.10E+01
61.1209,0.00E+00
61.1516,0.00E+00
61.155,1.20E+01
