M/Z,INTENSITY
50.0134,0.00E+00
50.0165,9.00E+00
50.0196,4.00E+00
50.0227,0.00E+00
50.4096,0.00E+00
50.4127,8.00E+00
50.4158,1.20E+01
50.4189,0.00E+00
50.422,1.10E+01
50.4251,1.20E+01
50.4282,0.00E+00
50.4716,0.00E+00
50.4747,2.30E+01
50.4778,3.00E+00
50.4809,0.00E+00
50.5896,0.00E+00
50.5927,1.60E+01
50.5958,2.00E+00
50.5989,0.00E+00
50.745,0.00E+00
50.7481,5.00E+00
50.7513,1.10E+01
50.7544,0.00E+00
50.7793,0.00E+00
50.7824,4.40E+01
50.7855,3.70E+01
50.7886,0.00E+00
50.9973,0.00E+00
51.0005,1.30E+01
51.0036,2.70E+01
51.0067,0.00E+00
51.0192,0.00E+00
51.0223,2.80E+01
51.0254,5.90E+01
51.0285,1.60E+01
51.0317,0.00E+00
51.0535,0.00E+00
51.0566,4.00E+00
51.0597,9.00E+00
51.0629,0.00E+00
51.5791,0.00E+00
51.5823,1.30E+01
51.5854,1.80E+01
51.5885,0.00E+00
51.9594,0.00E+00
51.9625,1.00E+01
51.9657,1.10E+01
51.9688,0.00E+00
52.0066,0.00E+00
52.0097,3.00E+00
52.0129,1.20E+01
52.016,0.00E+00
52.0223,0.00E+00
52.0255,1.80E+01
52.0286,5.00E+00
52.0318,1.10E+01
52.0349,5.00E+00
52.0381,0.00E+00
52.2999,0.00E+00
52.3031,2.20E+01
52.3062,3.00E+00
52.3094,0.00E+00
52.3252,0.00E+00
52.3284,9.00E+00
52.3315,2.00E+01
52.3347,0.00E+00
52.341,0.00E+00
52.3442,1.60E+01
52.3473,4.00E+00
52.3505,0.00E+00
52.7557,0.00E+00
52.7589,1.90E+01
52.7621,1.30E+01
52.7653,0.00E+00
52.9431,0.00E+00
52.9462,3.00E+00
52.9494,1.20E+01
52.9526,0.00E+00
52.9876,0.00E+00
52.9907,9.00E+00
52.9939,6.00E+00
52.9971,0.00E+00
53.0003,4.20E+01
53.0035,4.60E+01
53.0066,3.00E+00
53.0098,0.00E+00
53.0321,0.00E+00
53.0353,3.60E+01
53.0384,1.67E+02
53.0416,3.21E+02
53.0448,1.10E+02
53.048,3.60E+01
53.0512,0.00E+00
53.0989,0.00E+00
53.1021,7.00E+00
53.1053,1.50E+01
53.1084,0.00E+00
53.239,0.00E+00
53.2422,1.60E+01
53.2454,2.00E+00
53.2486,0.00E+00
53.4368,0.00E+00
53.44,4.00E+00
53.4432,1.90E+01
53.4464,0.00E+00
53.4527,0.00E+00
53.4559,2.70E+01
53.4591,4.00E+00
53.4623,0.00E+00
53.4911,0.00E+00
53.4943,2.30E+01
53.4975,0.00E+00
53.5997,0.00E+00
53.6029,2.00E+00
53.6061,1.80E+01
53.6093,0.00E+00
53.9777,0.00E+00
53.9809,1.30E+01
53.9841,0.00E+00
54.0387,0.00E+00
54.0419,5.00E+01
54.0451,5.40E+01
54.0483,4.00E+01
54.0515,1.10E+01
54.0547,0.00E+00
54.2283,0.00E+00
54.2315,1.50E+01
54.2347,0.00E+00
54.2894,0.00E+00
54.2926,9.00E+00
54.2958,1.90E+01
54.2991,0.00E+00
54.3151,0.00E+00
54.3184,1.00E+01
54.3216,2.10E+01
54.3248,0.00E+00
54.4504,0.00E+00
54.4536,1.00E+01
54.4569,1.10E+01
54.4601,0.00E+00
54.8637,0.00E+00
54.867,8.00E+00
54.8702,8.00E+00
54.8734,0.00E+00
54.99,0.00E+00
54.9932,6.00E+00
54.9964,9.00E+00
54.9997,2.60E+01
55.0029,2.00E+00
55.0062,0.00E+00
55.0094,1.00E+01
55.0126,1.68E+02
55.0159,2.08E+03
55.0191,6.58E+03
55.0224,5.11E+03
55.0256,1.32E+03
55.0288,5.90E+01
55.0321,0.00E+00
55.045,0.00E+00
55.0483,1.10E+01
55.0515,2.00E+02
55.0548,6.84E+02
55.058,1.13E+03
55.0612,2.42E+02
55.0645,3.70E+01
55.0677,0.00E+00
55.2656,0.00E+00
55.2688,8.00E+00
55.2721,4.20E+01
55.2753,0.00E+00
55.4768,0.00E+00
55.4801,1.10E+01
55.4833,5.00E+00
55.4866,0.00E+00
55.7113,0.00E+00
55.7146,1.90E+01
55.7178,1.20E+01
55.7211,0.00E+00
56.0149,0.00E+00
56.0182,9.00E+00
56.0214,1.41E+02
56.0247,4.04E+02
56.028,7.30E+01
56.0312,4.00E+00
56.0345,0.00E+00
56.0541,0.00E+00
56.0574,9.60E+01
56.0607,9.50E+01
56.0639,6.00E+00
56.0672,1.05E+02
56.0705,0.00E+00
56.0934,0.00E+00
56.0966,5.00E+00
56.0999,2.40E+01
56.1032,0.00E+00
56.1555,0.00E+00
56.1588,3.20E+01
56.1621,1.30E+01
56.1654,0.00E+00
56.2046,0.00E+00
56.2079,7.00E+00
56.2112,1.50E+01
56.2145,0.00E+00
56.2636,0.00E+00
56.2669,1.30E+01
56.2701,6.00E+00
56.2734,0.00E+00
56.503,0.00E+00
56.5063,1.00E+01
56.5096,7.00E+00
56.5128,0.00E+00
56.8746,0.00E+00
56.8779,5.00E+00
56.8812,1.40E+01
56.8845,0.00E+00
57.0196,0.00E+00
57.0229,1.10E+01
57.0262,3.10E+01
57.0295,1.70E+02
57.0328,1.20E+03
57.0361,1.47E+03
57.0394,6.70E+02
57.0427,1.25E+02
57.046,1.00E+01
57.0493,0.00E+00
57.0658,0.00E+00
57.0691,3.00E+01
57.0724,1.30E+01
57.0757,3.00E+00
57.079,0.00E+00
57.3466,0.00E+00
57.3499,1.10E+01
57.3532,7.00E+00
57.3565,0.00E+00
57.3962,0.00E+00
57.3995,6.00E+00
57.4028,9.00E+00
57.4061,0.00E+00
57.5319,0.00E+00
57.5352,2.50E+01
57.5385,1.80E+01
57.5419,0.00E+00
57.6313,0.00E+00
57.6347,2.50E+01
57.638,0.00E+00
58.0332,0.00E+00
58.0366,4.20E+01
58.0399,1.24E+02
58.0432,5.10E+01
58.0465,3.40E+01
58.0499,3.00E+00
58.0532,0.00E+00
58.0898,0.00E+00
58.0931,1.50E+01
