# Removed peaks with intensities less than 84500, which is 5.0% of the maximum intensity
"M/Z","INTENSITY","RETENTION TIME (MIN)"
115.0581,89900,nan
128.0646,107000,nan
129.0699,112000,nan
129.0748,93500,nan
141.0662,98600,nan
141.0714,233000,nan
141.0766,134000,nan
152.0567,98800,nan
152.0621,409000,nan
152.0675,348000,nan
153.0655,218000,nan
153.0709,722000,nan
153.0763,435000,nan
154.0776,167000,nan
154.0831,102000,nan
155.0876,142000,nan
157.0683,102000,nan
165.0661,385000,nan
165.0717,1340000,nan
165.0773,696000,nan
166.0720,181000,nan
166.0776,535000,nan
166.0833,367000,nan
167.0810,205000,nan
167.0866,564000,nan
167.0923,323000,nan
168.0534,196000,nan
168.0591,448000,nan
168.0647,230000,nan
168.0930,138000,nan
168.0987,89700,nan
169.0627,219000,nan
169.0684,265000,nan
169.0741,92000,nan
170.0751,97400,nan
177.0658,114000,nan
177.0716,252000,nan
177.0775,153000,nan
178.0727,314000,nan
178.0785,1690000,nan
178.0843,1180000,nan
178.0902,116000,nan
179.0824,764000,nan
179.0882,1610000,nan
179.0941,503000,nan
180.0891,191000,nan
180.0949,198000,nan
181.0633,730000,nan
181.0692,1090000,nan
181.0751,289000,nan
181.1045,109000,nan
182.0697,313000,nan
182.0755,414000,nan
182.0814,144000,nan
183.0433,97500,nan
183.0492,95200,nan
183.0788,227000,nan
183.0847,248000,nan
184.0492,95400,nan
184.0551,133000,nan
185.0579,148000,nan
185.0638,188000,nan
189.0660,131000,nan
189.0720,285000,nan
189.0780,164000,nan
190.0763,196000,nan
190.0823,215000,nan
191.0832,416000,nan
191.0892,708000,nan
191.0952,236000,nan
192.0867,113000,nan
192.0927,355000,nan
192.0988,304000,nan
193.0625,132000,nan
193.0685,185000,nan
194.0712,262000,nan
194.0772,324000,nan
194.0833,105000,nan
195.0764,344000,nan
195.0825,995000,nan
195.0886,505000,nan
196.0475,163000,nan
196.0536,418000,nan
196.0597,247000,nan
196.0658,120000,nan
196.0719,135000,nan
196.0780,103000,nan
196.0842,249000,nan
196.0903,473000,nan
196.0964,221000,nan
197.0578,345000,nan
197.0639,447000,nan
197.0701,165000,nan
197.0946,103000,nan
197.1007,89900,nan
198.0646,202000,nan
198.0707,296000,nan
198.0768,123000,nan
199.0739,145000,nan
199.0800,150000,nan
202.0738,178000,nan
202.0800,399000,nan
202.0862,222000,nan
203.0808,113000,nan
203.0871,195000,nan
203.0933,104000,nan
205.0586,125000,nan
205.0649,581000,nan
205.0711,553000,nan
205.0774,133000,nan
206.0668,155000,nan
206.0731,420000,nan
206.0793,293000,nan
207.0774,471000,nan
207.0837,917000,nan
207.0900,349000,nan
208.0842,186000,nan
208.0905,248000,nan
208.0968,107000,nan
209.0556,144000,nan
209.0619,323000,nan
209.0682,191000,nan
209.0745,88500,nan
209.0935,152000,nan
209.0998,216000,nan
209.1061,89300,nan
210.0609,89900,nan
210.0672,296000,nan
210.0735,268000,nan
210.0798,88900,nan
211.0685,130000,nan
211.0749,587000,nan
211.0812,599000,nan
211.0876,145000,nan
212.0468,124000,nan
212.0532,108000,nan
212.0786,113000,nan
212.0850,148000,nan
213.0529,178000,nan
213.0592,223000,nan
213.0656,96400,nan
213.0911,99700,nan
215.0849,104000,nan
218.0737,107000,nan
218.0801,84600,nan
219.0745,145000,nan
219.0810,557000,nan
219.0874,461000,nan
219.0939,95000,nan
220.0841,178000,nan
220.0906,285000,nan
220.0971,134000,nan
221.0571,121000,nan
221.0636,182000,nan
221.0701,99100,nan
221.0961,104000,nan
222.0647,171000,nan
222.0713,254000,nan
222.0778,115000,nan
223.0682,120000,nan
223.0747,586000,nan
223.0812,629000,nan
223.0878,165000,nan
224.0739,91700,nan
224.0804,387000,nan
224.0869,586000,nan
224.0935,217000,nan
225.0556,153000,nan
225.0621,117000,nan
225.0883,175000,nan
225.0949,202000,nan
226.0592,123000,nan
226.0657,196000,nan
226.0723,121000,nan
227.0650,127000,nan
227.0716,289000,nan
227.0781,214000,nan
228.0796,92900,nan
234.0680,157000,nan
234.0746,134000,nan
235.0713,184000,nan
235.0780,388000,nan
235.0847,218000,nan
236.0836,123000,nan
237.0576,115000,nan
237.0845,107000,nan
237.0912,260000,nan
237.0979,226000,nan
238.1010,101000,nan
239.0657,111000,nan
239.0725,245000,nan
239.0792,164000,nan
240.0797,129000,nan
241.0484,92300,nan
241.0552,93500,nan
241.0823,98500,nan
241.0891,155000,nan
241.0959,85700,nan
242.0598,106000,nan
247.0800,106000,nan
250.0616,91300,nan
250.0685,103000,nan
251.0640,85000,nan
251.0709,239000,nan
251.0778,204000,nan
252.0754,133000,nan
252.0823,164000,nan
253.0888,120000,nan
255.0659,159000,nan
255.0729,141000,nan
