M/Z        Intensity  Ret Time  Rel Inten   Match MW  ppm Err   Parent     DBE Match Type
 236.0836     454000       nan        nan   236.0837     -0.6  C16H12O2   11.0 same
 238.1010     469000       nan        nan   238.0994      6.8  C16H14O2   10.0 same
 248.0833    1050000       nan        nan   248.0837     -1.7  C17H12O2   12.0 same
 249.0887     361000       nan        nan   248.0837     -1.7  C17H12O2   12.0 same
 264.1150     606000       nan        nan   264.1150     -0.1  C18H16O2   11.0 same
 266.0919     283000       nan        nan   266.0943     -9.0  C17H14O3   11.0 same
 268.1119     947000       nan        nan   268.1099      7.3  C17H16O3   10.0 same
 272.1028     371000       nan        nan   272.1049     -7.6  C16H16O4    9.0 same
 280.1073     396000       nan        nan   280.1099     -9.4  C18H16O3   11.0 same
 284.1053     901000       nan        nan   284.1049      1.5  C17H16O4   10.0 same
 286.1185     352000       nan        nan   286.1205     -7.0  C17H18O4    9.0 same
 300.1380     279000       nan        nan   300.1362      6.1  C18H20O4    9.0 same
