M/Z        Intensity  Ret Time  Rel Inten   Match MW  ppm Err   Parent     DBE Match Type
 166.0776     236000       nan        nan   166.0782     -3.9  C13H10      9.0 same
 167.0810      99100       nan        nan   166.0782     -3.9  C13H10      9.0 same
 168.0591     122000       nan        nan   168.0575      9.5  C12H8O      9.0 same
 180.0949     202000       nan        nan   180.0939      5.6  C14H12      9.0 same
 181.0986     110000       nan        nan   180.0939      5.6  C14H12      9.0 same
 192.0927     409000       nan        nan   192.0939     -6.2  C15H12     10.0 same
 196.0536     191000       nan        nan   196.0524      6.0  C13H8O2    10.0 same
 196.0903     566000       nan        nan   196.0888      7.5  C14H12O     9.0 same
 197.0578     187000       nan        nan   196.0524      6.0  C13H8O2    10.0 same
 197.0946     146000       nan        nan   196.0888      7.5  C14H12O     9.0 same
 208.0905     442000       nan        nan   208.0888      8.1  C15H12O    10.0 same
 209.0935     287000       nan        nan   208.0888      8.1  C15H12O    10.0 same
 210.0672     309000       nan        nan   210.0681     -4.2  C14H10O2   10.0 same
 210.1051      98000       nan        nan   210.1045      3.0  C15H14O     9.0 same
 211.0685     158000       nan        nan   210.0681     -4.2  C14H10O2   10.0 same
 212.0850     225000       nan        nan   212.0837      6.0  C14H12O2    9.0 same
 226.0986     130000       nan        nan   226.0994     -3.5  C15H14O2    9.0 same
 228.0796     155000       nan        nan   228.0786      4.2  C14H12O3    9.0 same
 234.0680     293000       nan        nan   234.0681     -0.3  C16H10O2   12.0 same
 236.0836     336000       nan        nan   236.0837     -0.6  C16H12O2   11.0 same
 238.1010     453000       nan        nan   238.0994      6.8  C16H14O2   10.0 same
 239.1063     311000       nan        nan   238.0994      6.8  C16H14O2   10.0 same
 240.0797     297000       nan        nan   240.0786      4.4  C15H12O3   10.0 same
 241.0823     245000       nan        nan   240.0786      4.4  C15H12O3   10.0 same
 242.0598     123000       nan        nan   242.0579      7.8  C14H10O4   10.0 same
 248.0833     419000       nan        nan   248.0837     -1.7  C17H12O2   12.0 same
 249.0887     176000       nan        nan   248.0837     -1.7  C17H12O2   12.0 same
 256.0714     255000       nan        nan   256.0736     -8.4  C15H12O4   10.0 same
 266.0919     140000       nan        nan   266.0943     -9.0  C17H14O3   11.0 same
 268.0761     105000       nan        nan   268.0736      9.5  C16H12O4   11.0 same
 268.1119     123000       nan        nan   268.1099      7.3  C17H16O3   10.0 same
 270.0893     125000       nan        nan   270.0892      0.3  C16H14O4   10.0 same
 284.1053     153000       nan        nan   284.1049      1.5  C17H16O4   10.0 same
