"M/Z","Intensity","Ret Time","Intensity Relative to Standard","Match MW","ppm Err","Parent formula","DBE","Match Type"
166.0776,236000.0,nan,nan,166.07825,-3.914,"C13H10",9.0,"same"
167.081,99100.0,nan,nan,166.07825,-3.914,"C13H10",9.0,"same"
168.0591,122000.0,nan,nan,168.05751,9.461,"C12H8O",9.0,"same"
180.0949,202000.0,nan,nan,180.0939,5.553,"C14H12",9.0,"same"
181.0986,110000.0,nan,nan,180.0939,5.553,"C14H12",9.0,"same"
192.0927,409000.0,nan,nan,192.0939,-6.247,"C15H12",10.0,"same"
196.0536,191000.0,nan,nan,196.05243,5.968,"C13H8O2",10.0,"same"
196.0903,566000.0,nan,nan,196.08882,7.548,"C14H12O",9.0,"same"
197.0578,187000.0,nan,nan,196.05243,5.968,"C13H8O2",10.0,"same"
197.0946,146000.0,nan,nan,196.08882,7.548,"C14H12O",9.0,"same"
208.0905,442000.0,nan,nan,208.08882,8.073,"C15H12O",10.0,"same"
209.0935,287000.0,nan,nan,208.08882,8.073,"C15H12O",10.0,"same"
210.0672,309000.0,nan,nan,210.06808,-4.189,"C14H10O2",10.0,"same"
210.1051,98000.0,nan,nan,210.10447,2.999,"C15H14O",9.0,"same"
211.0685,158000.0,nan,nan,210.06808,-4.189,"C14H10O2",10.0,"same"
212.085,225000.0,nan,nan,212.08373,5.988,"C14H12O2",9.0,"same"
226.0986,130000.0,nan,nan,226.09938,-3.45,"C15H14O2",9.0,"same"
228.0796,155000.0,nan,nan,228.07864,4.209,"C14H12O3",9.0,"same"
234.068,293000.0,nan,nan,234.06808,-0.342,"C16H10O2",12.0,"same"
236.0836,336000.0,nan,nan,236.08373,-0.551,"C16H12O2",11.0,"same"
238.101,453000.0,nan,nan,238.09938,6.804,"C16H14O2",10.0,"same"
239.1063,311000.0,nan,nan,238.09938,6.804,"C16H14O2",10.0,"same"
240.0797,297000.0,nan,nan,240.07864,4.415,"C15H12O3",10.0,"same"
241.0823,245000.0,nan,nan,240.07864,4.415,"C15H12O3",10.0,"same"
242.0598,123000.0,nan,nan,242.05791,7.808,"C14H10O4",10.0,"same"
248.0833,419000.0,nan,nan,248.08373,-1.733,"C17H12O2",12.0,"same"
249.0887,176000.0,nan,nan,248.08373,-1.733,"C17H12O2",12.0,"same"
256.0714,255000.0,nan,nan,256.07356,-8.435,"C15H12O4",10.0,"same"
266.0919,140000.0,nan,nan,266.09429,-8.982,"C17H14O3",11.0,"same"
268.0761,105000.0,nan,nan,268.07356,9.475,"C16H12O4",11.0,"same"
268.1119,123000.0,nan,nan,268.10994,7.31,"C17H16O3",10.0,"same"
270.0893,125000.0,nan,nan,270.08921,0.333,"C16H14O4",10.0,"same"
284.1053,153000.0,nan,nan,284.10486,1.549,"C17H16O4",10.0,"same"
